ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
486624311,Photo,New Zealand Fantail,Rhipidura fuliginosa,,William Hemstrom,2018-09-12,2018,9,12,1409,New Zealand,NZ-AUK-004,Auckland,Rodney District,Tiritiri Matangi--Lighthouse and grounds,-36.6060000,174.8963000,"",,Unspecified,"","",,,,,,,S48449713,"",,,Still from a video--foraging on insects kicked up by our feet.,,Rhipidura fuliginosa,nezfan1,Species,,,2.00,1,,815,1086
485596961,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Ah Heng,2019-06-30,2019,6,30,2234,New Zealand,NZ-NTL-001,Northland,Far North District,Cape Reinga,-34.4288820,172.6810410,"",,Unspecified,"","",,,,,,,S119028564,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,828,1242
485183521,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Ulises Cabrera Miranda,2022-09-17,2022,9,17,1422,New Zealand,NZ-STL-073,Southland,Southland District,"Hollyford Track, Southland, NZ (-44.657, 168.126)",-44.6566708,168.1260308,"",,Unspecified,"","",,,,,,,S118939472,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,4000,6000
484291161,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Andrew Wood,2020-01-30,2020,1,30,0,New Zealand,NZ-WTC-057,West Coast,Westland District,Westland Tai Poutini NP--Franz Joseph Glacier Walk,-43.4358753,170.1706696,"",,Unspecified,"","",,,,,,,S118773213,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,1499,2248
484226991,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Bev Alexander,2022-09-15,2022,9,15,1127,New Zealand,NZ-CAN-059,Canterbury,Waimakariri District,"7473, Loburn NZ-Canterbury -43.28539, 172.56781",-43.2853940,172.5678130,"",,Unspecified,"","",,,,,,,S118762896,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,3.00,1,,2686,2448
481994711,Photo,New Zealand Fantail,Rhipidura fuliginosa,,George Vaughan,2022-09-01,2022,9,1,1040,New Zealand,NZ-WKO-017,Waikato,Waipa District,Maungatautari--Southern Enclosure & Tautari Wetland,-38.0542078,175.5618453,"",,Unspecified,"","",,,,,,,S117886462,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,4.00,1,,3456,4608
481350251,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Alfie Benbow,2022-05-28,2022,5,28,1001,New Zealand,NZ-WGN-044,Wellington,Porirua City,Pauatahanui Park,-41.1021366,174.9144654,"",,Unspecified,"","",,,,,,,S113164054,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,2048,1536
480398391,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Megan Griffin,2022-08-30,2022,8,30,956,New Zealand,NZ-BOP-025,Bay of Plenty,Whakatane District,Ngā Tapuwae o Toi Trail,-37.9520263,177.0023898,"",,Unspecified,"","",,,,,,,S117936391,"",,,,saw many fantails along the Ngā Tapuwae o Toi Trail,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,3096,4128
480398371,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Megan Griffin,2022-08-30,2022,8,30,956,New Zealand,NZ-BOP-025,Bay of Plenty,Whakatane District,Ngā Tapuwae o Toi Trail,-37.9520263,177.0023898,"",,Unspecified,"","",,,,,,,S117936391,"",,,,saw many fantails along the Ngā Tapuwae o Toi Trail,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,3096,4128
478679781,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Phil Smith,2022-08-21,2022,8,21,1515,New Zealand,NZ-AUK-006,Auckland,Waitakere City,Huia (Lower Huia Dam),-36.9955211,174.5668845,"",,Unspecified,"","",,,,,,,S117309124,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,1867,2645
478679771,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Phil Smith,2022-08-21,2022,8,21,1515,New Zealand,NZ-AUK-006,Auckland,Waitakere City,Huia (Lower Huia Dam),-36.9955211,174.5668845,"",,Unspecified,"","",,,,,,,S117309124,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,2698,3634
478679761,Photo,New Zealand Fantail,Rhipidura fuliginosa,,Phil Smith,2022-08-21,2022,8,21,1515,New Zealand,NZ-AUK-006,Auckland,Waitakere City,Huia (Lower Huia Dam),-36.9955211,174.5668845,"",,Unspecified,"","",,,,,,,S117309124,"",,,,,Rhipidura fuliginosa,nezfan1,Species,,,.00,0,,2937,2392
