ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
487649091,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Ulises Cabrera Miranda,2022-09-23,2022,9,23,1641,New Zealand,NZ-OTA-071,Otago,Dunedin City,Sandfly Bay,-45.8955041,170.6429100,"",,Unspecified,"","",,,,,,,S119222641,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,4000,6000
487649081,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Ulises Cabrera Miranda,2022-09-23,2022,9,23,1641,New Zealand,NZ-OTA-071,Otago,Dunedin City,Sandfly Bay,-45.8955041,170.6429100,"",,Unspecified,"","",,,,,,,S119222641,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,4000,6000
486960251,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Josep del Hoyo,2013-01-27,2013,1,27,0,New Zealand,NZ-STL-073,Southland,Southland District,Curio Bay,-46.6613360,169.0976140,"",,Unspecified,"","",,,,,,,S64822467,"",,,An adult bird walking to its colony. Videograb. ,,Megadyptes antipodes,yeepen1,Species,,,3.00,1,,380,691
485057961,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Abraham Reid,2022-09-18,2022,9,18,635,New Zealand,NZ-OTA-068,Otago,Waitaki District,Oamaru--Bushy Beach Scenic Reserve,-45.1223845,170.9791088,"",,Unspecified,"","",,,,,,,S118929848,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,3888,5184
485057701,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Abraham Reid,2022-09-18,2022,9,18,635,New Zealand,NZ-OTA-068,Otago,Waitaki District,Oamaru--Bushy Beach Scenic Reserve,-45.1223845,170.9791088,"",,Unspecified,"","",,,,,,,S118929848,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,3888,5184
484296231,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Andrew Wood,2020-02-03,2020,2,3,0,New Zealand,NZ-OTA-071,Otago,Dunedin City,Otago Peninsula--Penguin beach,-45.8037942,170.7440293,"",,Unspecified,"","",,,,,,,S118774479,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,2803,4272
484296161,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Andrew Wood,2020-02-03,2020,2,3,0,New Zealand,NZ-OTA-071,Otago,Dunedin City,Otago Peninsula--Penguin beach,-45.8037942,170.7440293,"",,Unspecified,"","",,,,,,,S118774479,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,1911,2866
483103631,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Oscar Thomas,2022-09-10,2022,9,10,1635,New Zealand,NZ-OTA-068,Otago,Waitaki District,Katiki Point,-45.3924229,170.8668852,Adult – 1,,Unspecified,"","",,,,,,,S118422024,"",,,,"Possibly 4, 2 were seen and 1-2 heard",Megadyptes antipodes,yeepen1,Species,,,3.50,2,,3419,5128
478789731,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Betsy Miller,2011-11-11,2011,11,11,0,New Zealand,NZ-STL-073,Southland,Southland District,Curio Bay Camping Ground,-46.6617857,169.1014874,"",,Unspecified,"","",,,,,,,S117657598,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,640,960
477881391,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Ulises Cabrera Miranda,2021-03-07,2021,3,7,1717,New Zealand,NZ-OTA-071,Otago,Dunedin City,Highcliff Track,-45.8953100,170.5954456,"",,Unspecified,"","",,,,,,,S117475564,"",,,,,Megadyptes antipodes,yeepen1,Species,,,5.00,1,,1844,3192
477347351,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-03-27,2015,3,27,1030,New Zealand,NZ-OTA-068,Otago,Waitaki District,Katiki Point,-45.3924229,170.8668852,"",,Unspecified,"","",,,,,,,S117382736,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,1942,3452
477347361,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-03-27,2015,3,27,1030,New Zealand,NZ-OTA-068,Otago,Waitaki District,Katiki Point,-45.3924229,170.8668852,"",,Unspecified,"","",,,,,,,S117382736,"",,,,,Megadyptes antipodes,yeepen1,Species,,,5.00,1,,1966,2736
477347341,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-03-27,2015,3,27,1030,New Zealand,NZ-OTA-068,Otago,Waitaki District,Katiki Point,-45.3924229,170.8668852,"",,Unspecified,"","",,,,,,,S117382736,"",,,,,Megadyptes antipodes,yeepen1,Species,,,5.00,1,,1974,3510
477347331,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-03-27,2015,3,27,1030,New Zealand,NZ-OTA-068,Otago,Waitaki District,Katiki Point,-45.3924229,170.8668852,"",,Unspecified,"","",,,,,,,S117382736,"",,,,,Megadyptes antipodes,yeepen1,Species,,,5.00,1,,1759,3127
477347321,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-03-27,2015,3,27,1030,New Zealand,NZ-OTA-068,Otago,Waitaki District,Katiki Point,-45.3924229,170.8668852,"",,Unspecified,"","",,,,,,,S117382736,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,1834,3262
476029231,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-03-06,2015,3,6,1300,New Zealand,NZ-OTA-071,Otago,Dunedin City,Sandfly Bay,-45.8955041,170.6429100,"",,Unspecified,"","",,,,,,,S117106140,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,1683,2992
473944341,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,John Grossa,2003-03-11,2003,3,11,1700,New Zealand,NZ-OTA-071,Otago,Dunedin City,Penguin Place,-45.7967932,170.7303071,"",,Unspecified,"","",,,,,,,S116630319,"",,,,Adults returning from sea to feed nestlings.,Megadyptes antipodes,yeepen1,Species,,,.00,0,,3024,4032
473944331,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,John Grossa,2003-03-11,2003,3,11,1700,New Zealand,NZ-OTA-071,Otago,Dunedin City,Penguin Place,-45.7967932,170.7303071,"",,Unspecified,"","",,,,,,,S116630319,"",,,,Adults returning from sea to feed nestlings.,Megadyptes antipodes,yeepen1,Species,,,.00,0,,3024,4032
473853891,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-04-03,2015,4,3,1100,New Zealand,NZ-OTA-072,Otago,Clutha District,Tautuku Beach,-46.5789227,169.4464302,"",,Unspecified,"","",,,,,,,S116603330,"",,,,,Megadyptes antipodes,yeepen1,Species,,,.00,0,,2052,3648
473853801,Photo,Yellow-eyed Penguin,Megadyptes antipodes,,Noah Isakov,2015-04-03,2015,4,3,1100,New Zealand,NZ-OTA-072,Otago,Clutha District,Tautuku Beach,-46.5789227,169.4464302,"",,Unspecified,"","",,,,,,,S116603330,"",,,,,Megadyptes antipodes,yeepen1,Species,,,5.00,1,,2052,3648
